date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:16	245/245	---M--	200	added ('OK')	text/plain	date:Thu,%2002%20Jun%202022%2014:34:16%20GMT	https://www.rj1st.com/robots.txt		(from )
20:04:21	1125940/1125940	---MCZ	200	added ('OK')	text/html	etag:W/%22c9c413e8da244f94088355ad3702854e%22	https://www.rj1st.com/	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/index.html	(from )
20:04:22	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.rj1st.com/)
20:04:25	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.rj1st.com/)
20:04:28	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20May%202022%2004:35:24%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/storage/emulated/0/HTTrack/Websites/rj1st/polyfill.io/v3/polyfill.mind82c.js	(from https://www.rj1st.com/)
20:04:29	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.rj1st.com/)
20:04:29	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:30%20GMT	https://www.rj1st.com/decodeURIComponent(e	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/decodeURIComponent(e.4.delayed	(from https://www.rj1st.com/)
20:04:37	412/412	---M--	200	added ('OK')	text/xml	date:Thu,%2002%20Jun%202022%2014:34:36%20GMT	https://www.rj1st.com/sitemap.xml	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/sitemap.xml	(from https://www.rj1st.com/)
20:04:38	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:38%20GMT	https://www.rj1st.com/feed.xml	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/feed.6.delayed	(from https://www.rj1st.com/)
20:04:39	168582/168582	---M-Z	200	added ('OK')	application/javascript	etag:W/%2250b0912d69d4094f25286183e22b9e2c%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e2a36163.bundle.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.e2a36163.bundle.min.js	(from https://www.rj1st.com/)
20:04:40	179690/179690	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ec3328370e2964dc0d298f8cbf5eb01%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.1cbd6a9b.bundle.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/services/wix-thunderbolt/dist/main.1cbd6a9b.bundle.min.js	(from https://www.rj1st.com/)
20:04:41	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.rj1st.com/)
20:04:44	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://www.rj1st.com/)
20:04:46	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.rj1st.com/)
20:04:47	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:48%20GMT	https://www.rj1st.com/version/	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/version/index.html	(from https://www.rj1st.com/)
20:04:48	38502/38502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e0bc75cd29020598154edc6c218d43ea%22	https://static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	(from https://www.rj1st.com/)
20:04:48	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://www.rj1st.com/)
20:04:49	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	/storage/emulated/0/HTTrack/Websites/rj1st/static.parastorage.com/services/editor-elements/dist/media/sloppyframe.d6793e19.png	(from https://www.rj1st.com/)
20:04:50	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:51%20GMT	https://www.rj1st.com/16e44c05.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/16e44c05.min.f.delayed	(from https://www.rj1st.com/)
20:04:53	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:52%20GMT	https://www.rj1st.com/b604fd33.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/b604fd33.min.10.delayed	(from https://www.rj1st.com/)
20:04:54	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:54%20GMT	https://www.rj1st.com/02b07b80.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/02b07b80.min.11.delayed	(from https://www.rj1st.com/)
20:04:54	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:55%20GMT	https://www.rj1st.com/7c602eb2.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/7c602eb2.min.12.delayed	(from https://www.rj1st.com/)
20:04:56	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:57%20GMT	https://www.rj1st.com/f52e40aa.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/f52e40aa.min.13.delayed	(from https://www.rj1st.com/)
20:04:57	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:58%20GMT	https://www.rj1st.com/07f5e5ab.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/07f5e5ab.min.14.delayed	(from https://www.rj1st.com/)
20:04:59	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:34:59%20GMT	https://www.rj1st.com/3acc863e.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/3acc863e.min.15.delayed	(from https://www.rj1st.com/)
20:04:59	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:00%20GMT	https://www.rj1st.com/4d761874.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/4d761874.min.16.delayed	(from https://www.rj1st.com/)
20:05:00	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:01%20GMT	https://www.rj1st.com/1f15f937.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/1f15f937.min.17.delayed	(from https://www.rj1st.com/)
20:05:01	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:02%20GMT	https://www.rj1st.com/34b72cf9.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/34b72cf9.min.18.delayed	(from https://www.rj1st.com/)
20:05:03	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:04%20GMT	https://www.rj1st.com/b028752b.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/b028752b.chunk.min.19.delayed	(from https://www.rj1st.com/)
20:05:04	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:05%20GMT	https://www.rj1st.com/e341a3fb.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/e341a3fb.chunk.min.1a.delayed	(from https://www.rj1st.com/)
20:05:05	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:06%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~bootstrap-classic.da0fc9ca.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_bootstrap-classic.da0fc9ca.chunk.min.1b.delayed	(from https://www.rj1st.com/)
20:05:07	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:07%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~bootstrap-responsive.a66c1914.chunk.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_bootstrap-responsive.a66c1914.chunk.min.1c.delayed	(from https://www.rj1st.com/)
20:05:08	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:08%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~bootstrap-responsive.e341a3fb.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_bootstrap-responsive.e341a3fb.chunk.min.1d.delayed	(from https://www.rj1st.com/)
20:05:09	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:09%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~common-site-members-dialogs.e6a271c3.chunk.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_common-site-members-dialogs.e6a271c3.chunk.min.1e.delayed	(from https://www.rj1st.com/)
20:05:09	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:10%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~common-site-members-dialogs.43fdce1f.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_common-site-members-dialogs.43fdce1f.chunk.min.1f.delayed	(from https://www.rj1st.com/)
20:05:10	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:11%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~bootstrap.5641211f.chunk.min.css	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_bootstrap.5641211f.chunk.min.20.delayed	(from https://www.rj1st.com/)
20:05:11	2867/2867	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202022%2014:35:12%20GMT	https://www.rj1st.com/rb_wixui.thunderbolt~bootstrap.b028752b.chunk.min.js	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/rb_wixui.thunderbolt_bootstrap.b028752b.chunk.min.21.delayed	(from https://www.rj1st.com/)
20:05:14	543/543	---M--	200	added ('OK')	image/png	etag:%22%222ff681c7444860a4a2786f08cdddb99d%22%22	https://static.wixstatic.com/media/01c3aff52f2a4dffa526d7a9843d46ea.png/v1/fill/w_20,h_20,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/Instagram.png	/storage/emulated/0/HTTrack/Websites/rj1st/static.wixstatic.com/media/01c3aff52f2a4dffa526d7a9843d46ea.png/v1/fill/w_20,h_20,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/Instagram.png	(from https://www.rj1st.com/)
20:05:15	1015637/1015637	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2014:35:13%20GMT	https://www.rj1st.com/shop	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/shop.html	(from https://www.rj1st.com/)
20:05:21	8021/8021	---M--	200	added ('OK')	image/jpeg	etag:%22ce5668d5a63f257f5fec3edfbcaeb3fc%22	https://static.wixstatic.com/media/d7b914_eb5415dedf7b4c1da2fc2daa94a37ead~mv2.jpg/v1/fill/w_245,h_138,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/d7b914_eb5415dedf7b4c1da2fc2daa94a37ead~mv2.jpg	/storage/emulated/0/HTTrack/Websites/rj1st/static.wixstatic.com/media/d7b914_eb5415dedf7b4c1da2fc2daa94a37ead_mv2.jpg/v1/fill/w_245,h_138,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/d7b914_eb5415dedf7b4c1da2fc2daa94a37ead_mv2.jpg	(from https://www.rj1st.com/)
20:05:21	866134/866134	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2014:35:16%20GMT	https://www.rj1st.com/cart-page	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/cart-page.html	(from https://www.rj1st.com/)
20:05:22	4296/4296	---M--	200	added ('OK')	image/jpeg	etag:%2260ff623335a4fbf8dd343ccb1e8be007%22	https://static.wixstatic.com/media/d7b914_d1e16e42cd7645b2ae794730118a1825~mv2.jpg/v1/fill/w_100,h_100,al_c,q_80,usm_0.66_1.00_0.01/d7b914_d1e16e42cd7645b2ae794730118a1825~mv2.jpg	/storage/emulated/0/HTTrack/Websites/rj1st/static.wixstatic.com/media/d7b914_d1e16e42cd7645b2ae794730118a1825_mv2.jpg/v1/fill/w_100,h_100,al_c,q_80,usm_0.66_1.00_0.01/d7b914_d1e16e42cd7645b2ae794730118a1825_mv2.jpg	(from https://www.rj1st.com/)
20:05:22	1006119/1006119	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2014:35:17%20GMT	https://www.rj1st.com/shop-3	/storage/emulated/0/HTTrack/Websites/rj1st/www.rj1st.com/shop-3.html	(from https://www.rj1st.com/)
